favourite_count, up_count, category, comment_count, following_count, favourites_count, followers_count, subscribe_count, videos_count, vv_count, Popularity_rank
0,0,5,0,100,132,111,111,2030,84665,1
0,43,11,14,11,0,7365,7365,15166,121492415,3
0,0,19,0,0,0,6,6,304,28021,1
0,0,1,0,0,0,1,1,56,559,1
0,1,19,0,0,0,0,0,4,35,1
0,0,17,0,1,1,1,1,35,1368,1
0,1,1,0,0,0,0,0,13,231,1
0,3,16,3,26,3,39,39,7,3198,1
0,22,10,8,97,7,10172,10172,103,232784,2
0,0,13,0,0,2,1,1,8,4419,1
0,0,20,0,12,37,5,5,126,9317,1
0,4,12,5,25,1,810,810,122,103878,2
0,26,20,2,687,9,22934,22934,1810,53033271,2
0,0,14,0,0,0,0,0,4,38,1
0,0,2,0,1,0,6,6,36,27657,2
0,0,20,0,0,0,3,3,15,61,1
0,2,14,2,4,24,0,0,5,634,2
0,0,1,0,0,0,1,1,34,1503,1
0,2,10,0,174,1,127,127,101,47123,2
0,2,20,0,7,363,1401,1401,1363,51711559,2
0,1,13,0,29,105,11,11,28,6214,2
0,0,10,0,75,40,75,75,648,118946,2
0,0,12,0,1,0,0,0,4,66,1
0,0,16,0,5147,2,579,579,179,58159,2
0,3,3,0,4,0,11,11,73,36145,2
0,8,7,8,4,5,2361,2361,3445,5128382,2
0,0,23,0,16,5,351,351,31,34863,1
0,0,5,0,3,10,0,0,2,108,1
0,5,10,1,147,3,64,64,61,25103,3
0,0,10,0,0,0,0,0,2,377,2
0,0,12,0,0,0,0,0,2,57,1
0,0,5,0,2,0,21,21,154,45092,1
0,0,6,0,0,1,8,8,68,12378,1
0,0,21,0,6,43,0,0,24,487,1
0,0,10,0,0,0,0,0,1,110,2
0,83,3,24,13,0,27504,27504,1687,11826900,3
0,0,6,0,0,0,0,0,1,4,1
0,6,22,2,3,0,4256,4256,194,1025215,2
0,0,8,0,5,1,497,497,88,92473,2
0,1,17,0,0,0,0,0,3,230,2
0,0,21,0,0,0,0,0,7,154,1
0,3,10,4,0,0,0,0,1,207,2
0,6,2,13,3629,1,774,774,114,81171,2
0,1,10,0,1,2,1163,1163,93965,1326006,2
0,0,20,0,2,1,1,1,13,100,1
0,0,10,1,30,3,44,44,57,15221,2
0,274,3,196,3,1,51333,51333,424,89788725,3
0,5,2,0,16,1,127938,127938,3173,5721339,2
0,0,23,0,0,0,0,0,9,191,1
0,0,16,0,0,0,1,1,19,269,1
0,0,21,0,1,0,0,0,5,1983,1
0,0,4,0,0,0,0,0,5,3,1
0,0,20,0,8,0,310,310,1241,5290520,2
0,0,1,0,0,0,0,0,2,23,1
0,38,3,14,0,5,28741,28741,536,10400360,3
0,0,9,0,0,0,0,0,2,67,1
0,0,4,0,0,0,0,0,37,49,1
0,0,6,0,0,0,6,6,1140,293448,1
0,0,2,0,0,0,31,31,15,1634,1
0,0,21,0,0,1,0,0,168,860,1
0,2,22,0,8,0,11,11,6,727,2
0,136,3,143,58,4,25887,25887,364,1782792,3
0,0,8,0,23,9,66,66,118,4678347,3
0,2,8,0,68,58,159,159,184,173644,2
0,0,13,0,6,23,5,5,100,5183,1
0,0,15,0,0,1,2,2,39,6113,1
0,0,16,0,11,1,24,24,771,47250,1
0,0,6,0,0,0,0,0,1,21,1
0,19,3,7,45,5,875,875,163,1196733,3
0,1,18,0,61,0,1173,1173,2985,11885616,2
0,0,10,0,0,3,1,1,4,876,2
0,1,20,0,0,0,0,0,3,39,1
0,2,12,2,17,17,79,79,12,11950,2
0,2,11,0,23,13,105,105,53,92105,2
0,7,3,4,21,25,17132,17132,771,4879058,3
0,0,2,2,10,88,634,634,209,341001,2
0,0,6,0,0,0,0,0,21,538,1
0,16,7,26,1824,26,1628,1628,521,2936209,3
0,0,16,0,0,0,98,98,1451,459821,1
0,30,7,107,6,0,11348,11348,343,20895263,3
0,0,18,0,0,0,0,0,9,60,1
0,2,6,1,144,1,2255,2255,1285,6947177,2
0,0,21,0,3,0,0,0,24,442,1
0,0,19,0,8,18,5,5,169,1183,1
0,0,5,0,6,0,0,0,3,49,1
0,0,14,0,0,0,37,37,6099,84213,1
0,0,22,0,17,0,2,2,3,417,1
0,0,12,0,0,0,1,1,7,2043,1
0,0,21,0,0,4,0,0,41,540,1
0,0,16,0,0,0,228,228,2150,1090589,1
0,1,10,0,12,1,3,3,1,205,2
0,0,2,1,16,5,7866,7866,6256,20318842,2
0,0,20,0,72,52,1,1,1,723,1
0,0,5,0,0,0,0,0,1,181,2
0,76,8,149,641,19,7716,7716,128,2922289,3
0,3,3,9,6,1,17675,17675,710,4981713,3
0,0,10,0,0,2,2,2,71,4729,2
0,0,20,0,0,74,0,0,2,9,1
0,0,13,0,0,0,0,0,1,30,1
0,0,12,0,14,0,0,0,9,269,1
0,0,12,0,0,0,0,0,4,34,1
0,0,20,0,0,0,22,22,279,9943,1
0,0,12,2,55,463,1,1,2,82,1
0,107,3,21,8,0,18501,18501,1287,4505924,3
0,1,9,0,0,2,0,0,7,154,1
0,3,12,2,13,12,197,197,1945,523069,3
0,1,21,0,1,0,10,10,21,6769,2
0,0,10,0,0,0,0,0,1,305,2
0,0,7,2,0,3,0,0,1,36,1
0,2,5,0,113,89,1,1,13,1809,1
0,46,3,29,311,1,3130,3130,1,1107488,3
0,2,22,0,17,6,460,460,1024,51658,1
0,10,17,0,10,2,1368,1368,896,1839625,3
0,0,6,0,2,2,0,0,581,6722,1
0,0,12,0,0,0,0,0,2,236,1
0,467,3,133,4,0,51509,51509,361,9676622,3
0,0,1,0,3,22,1,1,67,3802,1
0,1,12,1,49,6,1,1,1,83,1
0,1,18,1,0,783,2452,2452,18235,39973561,2
0,0,9,0,0,0,4,4,126,2724,1
0,0,15,0,23,0,13,13,212,6702,2
0,0,9,0,0,0,5,5,260,2291,1
0,0,20,0,0,0,67,67,378,12955,1
0,12,20,1,3,0,403,403,60,167740,3
0,0,18,0,136,26,184775,184775,27631,1559789232,1
0,1,10,0,15,22,4,4,62,23781,2
0,0,2,0,563,0,379,379,1116,22753,2
0,39,3,23,3,2,30667,30667,856,17448965,3
0,1,19,2,0,0,0,0,1,106,2
0,2,7,0,12,21,360,360,1329,1190203,2
0,0,19,0,0,0,0,0,4,100,1
0,70,3,26,39,4,87165,87165,1014,19507566,3
0,3,8,3,0,0,15978,15978,4182,8014293,3
0,1,12,0,7,0,2,2,25,502,1
0,0,1,0,0,0,0,0,1,26,1
0,0,22,0,1,4,2,2,31,25816,1
0,0,12,0,0,0,123,123,277,15318,1
0,0,22,0,0,0,0,0,12,103,1
0,0,12,0,1,3,1,1,49,3406,1
0,0,18,0,0,0,1976,1976,32317,52326697,2
0,0,12,1,162,157,48,48,3,1784,1
0,0,22,0,30,37,0,0,38,2798,1
0,0,5,0,4,1,31,31,19,6161,1
0,0,4,0,0,0,0,0,1,4,1
0,47,3,4,268,48,1085,1085,253,2043447,3
0,0,12,0,10,2,32,32,623,39082,1
0,0,4,0,0,1,0,0,7,81,1
0,0,6,0,0,0,0,0,34,34,1
0,0,11,0,0,1,29,29,153,27981,2
0,1,20,0,4,2,32,32,66,9273,2
0,0,21,0,0,0,0,0,172,2500,1
0,0,13,0,0,0,0,0,169,738,1
0,3,10,2,14,16,2414,2414,648,625044,2
0,0,7,0,6,0,928,928,862,1085102,2
0,0,15,0,0,0,4,4,369,29661,1
0,0,12,0,27,7,6,6,57,1312,1
0,0,10,0,33,16,19,19,20,16227,2
0,1,12,2,0,1,0,0,2,143,2
0,2,5,0,0,0,0,0,4,993,1
0,0,12,0,63,112,11,11,983,1897,1
0,0,2,0,8,1,478,478,2273,242842,2
0,0,22,0,0,0,0,0,1,8,1
0,4,7,1,6,1,126,126,769,395322,1
0,8,10,1,10,0,6462,6462,111,40454644,3
0,34,7,19,19,76,152,152,445,607884,3
0,2,7,0,15,1,326,326,307,1244849,2
0,1,9,2,4,0,19,19,35,6127,1
0,19,3,0,889,1,2198,2198,694,8043168,3
0,5,2,0,4,0,4,4,36,9926,3
0,0,2,0,11,6,1629,1629,21511,3061252,1
0,0,21,0,0,0,0,0,10,89,1
0,0,12,0,0,0,0,0,27,79,1
0,0,12,4,124,8,311,311,279,54256,1
0,122,3,52,1640,87,62975,62975,2459,44724765,3
0,2,3,0,16,1,405,405,1268,160693,3
0,0,1,0,0,4,0,0,2,53,1
0,0,4,0,0,0,2,2,335,10952,1
0,1,1,0,5,0,297,297,4285,520274,1
0,0,13,0,0,0,0,0,9,824,1
0,9,10,0,50,234,3,3,19,4300,2
0,0,17,0,1,0,1,1,30,6665,1
0,1,4,0,4,0,1,1,7,2397,1
0,9,14,3,1,77,3794,3794,837,7935409,3
0,0,17,0,7,11,0,0,143,566,1
0,0,12,0,0,1,0,0,1,44,1
0,25,11,4,42,14,39,39,5,10138,3
0,0,21,0,0,0,18,18,2947,60857,1
0,0,8,0,19,1,1,1,7,838,2
0,0,13,0,13,0,382,382,789,1034955,1
0,0,9,0,2,0,707,707,57,772205,1
0,11,9,2,62,0,492,492,208,403254,3
0,0,5,0,0,0,0,0,5,85,1
0,0,1,0,3,0,0,0,4,347,1
0,1,10,0,0,0,0,0,1,448,2
0,71,3,22,17,2,16522,16522,180,3806519,3
0,0,12,0,0,0,0,0,9,328,1
0,19,2,6,19,2,5218,5218,3557,8706211,3
0,8,17,0,21,9,13,13,42,47232,3
0,0,4,0,1,3,0,0,9,518,1
0,6,12,2,42,10,2,2,1,148,2
0,0,1,0,0,0,136,136,62,20872766,3
0,0,9,0,0,0,0,0,77,648,1
0,1,12,0,10,3,205,205,1441,233674,1
0,0,20,0,3,7,0,0,1,13,1
0,42,3,26,90,16,36278,36278,336,8634326,3
0,1,4,0,0,0,0,0,5,1370,2
0,0,14,1,4,1,3347,3347,13288,14409759,1
0,0,16,0,0,0,0,0,1,11,1
0,1,12,0,3,0,0,0,2,61,1
0,1,12,8,27,5,332,332,102,22128,1
0,0,20,0,0,114,5,5,219,8788,1
0,0,17,0,1,0,0,0,0,37,1
0,0,19,0,1,7,33,33,632,33460,1
0,1,17,0,0,1,0,0,5,292,1
0,0,1,0,0,0,2,2,33,1281,2
0,3,10,3,8,0,55,55,22,3129,2
0,3,3,2,0,0,118,118,38,1495348,3
0,0,8,0,16,7,519,519,191,752557,2
0,0,22,0,0,0,0,0,1,15,1
0,1,12,0,6,0,9,9,16,907,1
0,10,11,1,21,1,84,84,368,279592,3
0,41,11,123,4,7,217,217,93,340775,3
0,0,16,0,0,0,0,0,15,216,1
0,0,2,0,5,0,11,11,81,21863,2
0,0,9,0,55,34,628,628,18550,1359910,1
0,9,8,3,0,4,4083,4083,1887,7022439,2
0,0,6,0,0,0,0,0,197,703,1
0,2,16,0,72,357,93,93,201,34368,1
0,0,21,0,15,3,6,6,145,11379,1
0,0,12,0,0,0,0,0,1,65,1
0,26,7,9,25,45,961,961,212,987638,2
0,3,4,0,1,0,2,2,17,1415,2
0,2,21,3,4,0,1477,1477,218,512120,1
0,0,21,2,20,162,0,0,11,1787,2
0,395,3,81,95,3,68559,68559,459,19589967,3
0,0,17,0,2,1,2,2,367,2828,1
0,5,20,0,0,0,438,438,127,1160459,3
0,0,4,0,0,0,0,0,10,63,1
0,0,6,0,3,2,19,19,175,39273,1
0,0,12,0,2,0,0,0,1,19,1
0,0,12,0,4,0,0,0,6,196,1
0,0,16,0,2,0,18,18,81,25140,1
0,1,16,0,261,22,13485,13485,2799,20360488,1
0,0,21,0,1,0,1,1,114,4100,1
0,0,22,0,0,0,0,0,2,901,1
0,2,2,0,1,2,5,5,27,4966,2
0,0,6,0,0,0,0,0,4,65,1
0,0,10,0,0,0,0,0,3,441,2
0,2,9,0,31,24,529,529,86,2155358,1
0,1,5,0,2,5,0,0,1,21,1
0,1,12,1,97,37,124,124,68,7040,1
0,0,20,0,7,1,1,1,16,124,1
0,0,8,0,8,13,21,21,694,65815,2
0,0,3,1,1,0,211,211,158,87401,2
0,2,2,0,1,0,17,17,14,17995,2
0,2,11,0,1,0,1,1,18,27187,3
0,0,6,0,0,0,0,0,21,102,1
0,0,20,0,17,72,51,51,113,41682,2
0,0,9,0,9980,0,1586,1586,709,212812,2
0,66,3,32,24,2,16796,16796,313,1649921,3
0,0,5,0,0,0,0,0,15,120,1
0,3,9,0,13,15,6386,6386,3291,9076408,2
0,1,16,0,246,1,236,236,325,304210,1
0,4,1,14,115,5,378,378,120,21965,1
0,0,20,0,0,0,0,0,394,1745,1
0,0,12,0,0,0,12,12,352,1620,1
0,0,9,0,0,0,2,2,343,3535,1
0,0,5,0,54,1,67,67,438,16595,1
0,0,12,2,79,987,226,226,205,214876,1
0,0,10,0,0,0,0,0,1,1322,3
0,0,1,0,9,6,9200,9200,1141,3390749,1
0,45,3,22,0,0,27723,27723,718,33119890,3
0,0,14,0,0,0,13,13,13,5967,1
0,0,5,0,41,36,37,37,131,306947,1
0,3,12,9,22,0,37,37,57,2592,1
0,0,10,0,0,0,1,1,3,265,1
0,2,10,1,0,0,0,0,1,114,2
0,5,3,0,0,0,36,36,311,317899,2
0,0,8,0,2,0,3,3,393,6312,2
0,0,10,0,3276,11,1228,1228,321,25881,2
0,1,5,0,11,13,34,34,36,1181,1
0,1,8,0,8,0,15,15,529,28582,2
0,0,5,0,0,0,0,0,5,75,1
0,0,1,0,0,0,0,0,12,88,1
0,0,22,0,26,0,3,3,15,6746,1
0,0,16,0,1,1,0,0,6,94,1
0,0,5,0,0,3,1,1,4,146,1
0,346,14,264,193,9,199057,199057,1474,138315287,3
0,0,22,0,72,231,38,38,179,485579,1
0,0,13,0,0,0,0,0,355,1423,1
0,0,5,0,51,13,29,29,112,3144,1
0,0,21,0,21,7,118,118,317,376498,1
0,5,11,0,15,2,742,742,1746,8912679,3
0,0,17,4,103,19,716,716,221,99197,1
0,0,9,0,0,0,0,0,58,393,1
0,0,21,0,0,1,0,0,27,553,1
0,4,20,3,0,0,22,22,29,17258,2
0,0,15,0,0,1,1,1,10,2316,1
0,1,1,2,102,428,5901,5901,6115,13442093,1
0,25,3,17,5,0,2821,2821,280,714416,3
0,0,21,0,0,0,5,5,14,6734,2
0,0,12,0,1,0,0,0,2,32,1
0,2,12,0,0,0,1,1,2,43,1
